text,label
Argentina's build-up play relied heavily on Enzo Fernandez dropping between the center-backs to create a 3-2-5 shape in possession. This pulled the opposing midfield out of position and gave De Paul space to drive forward.,tactical_analysis
"The reason France struggled in the first half was their high line. When Messi dropped deep, Upamecano followed him, which left massive gaps behind for Di Maria to exploit on the counter.",tactical_analysis
"Spain's use of inverted fullbacks is the biggest tactical innovation of recent tournaments. Cucurella tucks inside to form a double pivot while Yamal stays wide, creating a 3-2-5 that overloads the right side.",tactical_analysis
"Germany's pressing structure collapsed after the 60th minute. You could see Gundogan and Kroos no longer covering the half-spaces, which let Japan's wingbacks receive the ball unmarked on transitions.",tactical_analysis
"Watching the replays, Morocco's defensive shape was a very compact 4-4-2 low block. The distance between their defensive and midfield lines was never more than 25 meters, which is why Spain couldn't play through them.",tactical_analysis
"The key to England's improvement under Southgate was switching from a back 4 to a back 3. It gave Walker the freedom to push high while Stones stepped into midfield, essentially making it a 3-2-4-1 in possession.",tactical_analysis
"Looking at the xG map, Brazil created most of their chances from left-side overloads. Vinicius and Neymar kept combining in the left half-space, but the finishing let them down with 2.3 xG from that zone alone.",tactical_analysis
"Rodri's positioning is the most underrated aspect of Spain's system. He sits right between the opposition's lines, always finding the pocket of space that connects defense to attack. His pass completion in the final third is over 90%.",tactical_analysis
"Croatia's midfield diamond of Modric-Brozovic-Kovacic created numerical superiority in central areas. They forced Japan to play wide, but Japan's wingbacks weren't equipped to handle 1v1 situations in the final third.",tactical_analysis
"The tactical difference between the two halves was clear. In the first half, the Netherlands sat in a 5-3-2 and invited pressure. After halftime, they pushed to a 3-4-3 and immediately won the territorial battle.",tactical_analysis
"Mbappe's heat map shows he spent 70% of the match on the left touchline in the first half, then moved centrally in the second. That positional shift coincided with France's comeback - he was getting the ball in much more dangerous areas.",tactical_analysis
"What made Saudi Arabia's goal against Argentina so effective was the offside trap. They held an incredibly high line at the halfway line and caught Argentina offside 7 times before halftime. It was a deliberate tactical choice, not luck.",tactical_analysis
"Gavi operates as a false midfielder - he nominally starts in central midfield but constantly drifts wide right, creating a 2v1 with the right winger against the opposition fullback. It pulls the opposing midfielder out of shape.",tactical_analysis
Portugal's 4-3-3 only works because Bruno Fernandes has the freedom to roam into the left half-space. This creates space for Bernardo Silva to underlap on the right side. Without Bruno's movement the entire right side is isolated.,tactical_analysis
"Japan's counterattacking strategy against Germany was textbook. They sat deep in a 5-4-1, waited for Germany to commit fullbacks forward, then hit the spaces behind with pace. Both goals came from exactly this pattern.",tactical_analysis
The data shows that teams pressing high against Morocco recovered the ball in the final third only 3 times per game on average. Their press resistance through short passes in the build-up phase was elite level.,tactical_analysis
"Looking at Bellingham's movement patterns, he makes 8-10 runs into the box per game from midfield. The issue is England's fullbacks aren't overlapping enough to create the width that would give him more space centrally.",tactical_analysis
"Italy's defensive issues stem from their lack of a proper defensive midfielder. When Jorginho was dropped, no one was screening the backline. Their center-backs were constantly exposed to direct runs from opposition midfielders.",tactical_analysis
The 2-3-5 formation in possession that Guardiola pioneered is now being used by half the tournament teams. The key difference is how they structure the defensive transition - most teams can't press effectively from that shape.,tactical_analysis
"South Korea's fullbacks pushed extremely high against Brazil, leaving a back 2. This was suicidal against Vinicius and Raphinha's pace. You could see Kim Min-jae constantly trying to cover both the center and the wide channels.",tactical_analysis
"The reason Liverpool's system translates so well to the national team for England is the pressing triggers. When the goalkeeper receives the ball, the front three immediately activates - same concept Klopp uses with the 4-3-3.",tactical_analysis
"Argentina's set piece routines were clearly rehearsed. On every corner, they used a short option with two players near the flag, drawing out one defender, then whipping it to the back post where Romero was unmarked three times.",tactical_analysis
"What separates elite teams in this tournament is their ability to progress the ball through the thirds. Spain completed 87% of passes in the middle third, compared to the tournament average of 74%. That's the gap.",tactical_analysis
"Deschamps set France up to be defensively solid first and counterattack second. The 4-3-3 on paper becomes a 4-5-1 without the ball, with Griezmann dropping next to the midfield duo to form a compact block.",tactical_analysis
